,Count
prince lavater,1
lavater would,1
have said,31
said i,29
i lack,1
lack the,1
the bump,2
bump of,1
of paternity,1
paternity don,1
t joke,1
joke i,1
i mean,12
mean to,9
have a,97
a serious,16
serious talk,2
talk with,30
know i,57
am dissatisfied,1
dissatisfied with,12
with your,17
your younger,2
younger son,2
son between,1
between ourselves,6
ourselves and,5
and her,130
face assumed,10
assumed its,3
its melancholy,1
melancholy expression,1
expression he,9
was mentioned,11
mentioned at,1
majesty s,6
s and,53
you were,44
were pitied,1
pitied the,2
prince answered,2
answered nothing,1
nothing but,47
but she,65
she looked,36
looked at,249
him significantly,1
significantly awaiting,1
awaiting a,4
a reply,13
reply he,8
he frowned,10
frowned what,2
what would,44
would you,19
have me,3
me do,2
do he,12
he said,364
said at,11
at last,80
last you,1
i did,66
did all,7
all a,11
a father,11
father could,4
could for,2
for their,36
their education,1
education and,7
and they,117
have both,1
both turned,1
turned out,9
out fools,1
fools hippolyte,1
hippolyte is,2
is at,14
at least,35
least a,2
a quiet,16
quiet fool,1
fool but,1
but anatole,3
anatole is,4
is an,34
an active,4
active one,1
one that,17
the only,85
only difference,2
difference between,4
between them,19
them he,46
said this,33
this smiling,1
smiling in,5
a way,18
way more,1
more natural,2
natural and,8
and animated,12
animated than,2
than usual,15
usual so,2
so that,123
the wrinkles,4
wrinkles round,1
round his,25
his mouth,30
mouth very,1
very clearly,2
clearly revealed,1
revealed something,1
something unexpectedly,1
unexpectedly coarse,1
coarse and,4
and unpleasant,4
unpleasant and,6
and why,39
why are,40
are children,2
children born,1
born to,1
to such,23
such men,10
men as,11
were not,83
not a,102
father there,2
there would,26
would be,290
be nothing,4
nothing i,14
i could,37
could reproach,1
reproach you,1
you with,18
with said,1
pavlovna looking,1
looking up,11
up pensively,1
pensively i,1
am your,3
your faithful,1
slave and,2
and to,246
to you,114
you alone,3
alone i,5
can confess,1
confess that,4
that my,19
my children,5
children are,4
are the,43
the bane,1
bane of,1
of my,75
my life,32
life it,5
it is,518
the cross,17
cross i,4
have to,85
to bear,15
bear that,1
is how,16
how i,26
i explain,5
explain it,4
it to,133
to myself,9
myself it,1
it can,38
t be,67
be helped,12
helped he,1
said no,9
no more,46
more but,14
but expressed,1
expressed his,14
his resignation,1
resignation to,4
to cruel,2
cruel fate,2
fate by,1
a gesture,12
gesture anna,1
pavlovna meditated,1
meditated have,1
have you,98
you never,3
never thought,6
thought of,98
of marrying,10
marrying your,1
your prodigal,1
prodigal son,1
son anatole,5
anatole she,3
she asked,56
asked they,5
say old,1
old maids,3
maids have,1
a mania,1
mania for,2
for matchmaking,1
matchmaking and,1
and though,44
though i,12
t feel,6
feel that,20
that weakness,2
weakness in,2
in myself,3
myself as,4
as yet,9
yet i,6
i know,159
know a,5
a little,119
little person,1
person who,6
is very,49
very unhappy,3
unhappy with,1
her father,121
father she,7
a relation,6
relation of,14
of yours,12
yours princess,1
princess mary,512
mary bolkonskaya,2
bolkonskaya prince,1
vasili did,3
not reply,31
reply though,1
though with,6
the quickness,2
quickness of,3
of memory,1
memory and,5
and perception,1
perception befitting,1
befitting a,1
the world,83
world he,6
he indicated,6
indicated by,3
a movement,14
movement of,83
the head,61
head that,7
that he,675
was considering,4
considering this,2
this information,5
information do,1
know he,14
last evidently,1
evidently unable,6
unable to,93
to check,4
check the,5
the sad,7
sad current,1
current of,3
his thoughts,21
thoughts that,16
that anatole,6
is costing,1
costing me,1
me forty,1
forty thousand,7
thousand rubles,33
rubles a,11
a year,35
year and,11
went on,155
on after,1
a pause,16
pause what,1
what will,17
will it,5
it be,38
be in,42
in five,3
five years,11
years if,1
if he,155
he goes,3
goes on,7
on like,4
like this,26
this presently,1
presently he,1
that s,290
s what,31
what we,17
we fathers,1
fathers have,1
to put,39
put up,12
up with,59
with is,1
is this,28
this princess,4
princess of,3
yours rich,1
rich her,1
father is,12
